,gen,ext_gene,ens_gene,qval,b
352,vhl-1,B0272.3,WBGene00007129,0.00842336266358282,-0.365607002329747
7419,vhl-1,D2030.4,WBGene00008414,0.0378928880879115,-0.327749959792404
7894,vhl-1,F02A9.4,WBGene00008514,0.0581036145039063,-0.248222233334143
9850,vhl-1,F20D6.11,WBGene00017640,0.00339227321836539,0.589393508121115
13041,vhl-1,F43H9.4,WBGene00018400,9.17435015705694e-06,0.7399836194752142
13344,vhl-1,F45H10.3,WBGene00009740,0.00672533423672706,-0.38693077724651703
14515,vhl-1,F54A3.5,WBGene00018784,0.0882381281932946,-0.438048645759247
14659,vhl-1,F54D5.12,WBGene00010055,4.5666112743864403e-07,-0.58147827941737
17930,vhl-1,K09H11.1,WBGene00019599,0.0474271983791598,0.33749991506338595
19512,vhl-1,R07E5.13,WBGene00011119,0.0225679439906954,-0.48620586560190904
20396,vhl-1,R53.4,WBGene00011273,0.0573298630557492,-0.232890826852389
20710,vhl-1,T02G5.7,WBGene00020166,0.0978012130799381,-0.241830553717722
26033,vhl-1,Y22D7AL.10,WBGene00021248,0.0327123809907867,-0.32249591397124394
26660,vhl-1,Y38F1A.6,WBGene00012608,0.0412406687207256,-0.5014262385914591
27900,vhl-1,Y48A6B.3,WBGene00012964,0.0066851227877620205,-0.35479629759570597
28617,vhl-1,Y53G8AL.2,WBGene00021800,0.0231366177030256,-0.261475428441124
28774,vhl-1,Y54F10AM.5,WBGene00021849,0.0821327917260872,-0.281184022825565
31840,vhl-1,ZK1320.9,WBGene00014258,3.63520819864975e-06,-0.44437547623753204
6992,vhl-1,acdh-1,WBGene00016943,0.00630913709090745,-0.636977432619991
8256,vhl-1,acl-6,WBGene00017261,7.95279000829694e-06,0.613732263545923
18965,vhl-1,ctc-2,WBGene00010965,4.85560015360731e-05,-0.50521655152633
6928,vhl-1,cyc-1,WBGene00000869,0.00528864479615996,-0.296142334655782
16268,vhl-1,fum-1,WBGene00001503,0.0231366177030256,0.388152286470419
16269,vhl-1,fum-1,WBGene00001503,3.26378313265451e-07,0.566234421389199
17805,vhl-1,gas-1,WBGene00001520,0.0882717225003395,-0.22315535033814002
21251,vhl-1,hpo-19,WBGene00020268,0.0010614628157708198,0.847204464509441
26043,vhl-1,hsp-60,WBGene00002025,0.0228949444878622,3.08983571389534
17976,vhl-1,mai-1,WBGene00003124,0.0214592430468089,0.511129555049533
9897,vhl-1,mdh-2,WBGene00003162,0.00853792664077467,-0.31805109532046993
15148,vhl-1,mrpl-2,WBGene00018932,0.0304075636503841,-0.3619300163837171
22813,vhl-1,mrpl-50,WBGene00011883,0.008992302230254759,-0.36331927049590296
184,vhl-1,mrpl-9,WBGene00015025,0.0147601847685209,-0.35970822888349197
25066,vhl-1,nduf-7,WBGene00012376,0.0827245905072554,-0.25851667241334503
935,vhl-1,oxa-1,WBGene00007215,0.005750967919900279,-0.3598745231184629
10829,vhl-1,pcca-1,WBGene00017864,1.90348008007418e-05,0.394249679223972
1430,vhl-1,pdhb-1,WBGene00015413,1.38811157173974e-05,-0.439211340213264
551,vhl-1,psd-1,WBGene00015159,0.00233150144399455,-0.7253914818476491
1020,vhl-1,sco-1,WBGene00015297,0.0057936557259336,-0.403191649038515
1348,vhl-1,sdha-1,WBGene00015391,9.24956863238717e-05,0.36631182329862105
22660,vhl-1,skn-1,WBGene00004804,0.0168722303816361,1.1223260488917
6562,vhl-1,sucg-1,WBGene00016844,0.0305021743958811,-0.264439649984614
1726,vhl-1,sucl-1,WBGene00007350,0.0155315687020675,-0.271752753642158
28259,vhl-1,taco-1,WBGene00021757,0.0690559843745526,-0.37230755410669103
9303,vhl-1,timm-23,WBGene00008857,0.0478146982114776,-0.298162855234346
29072,vhl-1,wah-1,WBGene00006937,0.0677214318667571,-0.272030359324014
